date,time,site,temp,mmHg,do_percent,do_mgL,spc,pH,fnu,bga_pc_rfu,bga_pc_ugL,chl_rfu,chl_ugL,depth,lat,lon
7/27/2022,12:28:02PM,west twin bwca,21.044,706.9,93.7,8.35,32.4,7.56,0.45,0.37,0.33,0.48,2.03,0,47.90393,-90.40586
7/27/2022,12:28:03PM,west twin bwca,21.048,706.9,93.7,8.34,32.6,7.55,0.45,0.36,0.32,0.41,1.73,0,47.90394,-90.40586
7/27/2022,12:28:04PM,west twin bwca,21.053,706.8,93.6,8.34,32.7,7.55,0.43,0.34,0.31,0.32,1.27,0,47.90393,-90.40586
7/27/2022,12:28:05PM,west twin bwca,21.055,706.9,93.6,8.33,32.8,7.54,0.44,0.33,0.3,0.26,1.01,0,47.90393,-90.40586
7/27/2022,12:28:06PM,west twin bwca,21.053,707,93.5,8.33,32.9,7.53,0.43,0.33,0.3,0.23,0.85,0,47.90394,-90.40586
7/27/2022,12:28:07PM,west twin bwca,21.047,706.9,93.4,8.32,32.9,7.53,0.44,0.32,0.28,0.22,0.83,0,47.90394,-90.40586
7/27/2022,12:28:08PM,west twin bwca,21.04,706.9,93.4,8.31,33,7.52,0.43,0.32,0.28,0.23,0.87,0,47.90394,-90.40586
7/27/2022,12:28:09PM,west twin bwca,21.03,707,93.3,8.31,33.7,7.52,0.43,0.3,0.27,0.23,0.86,0,47.90394,-90.40586
7/27/2022,12:28:10PM,west twin bwca,21.022,706.9,93.2,8.31,33.7,7.51,0.43,0.29,0.25,0.24,0.9,0.918,47.90394,-90.40585
7/27/2022,12:28:11PM,west twin bwca,21.014,706.9,93.2,8.3,33.6,7.5,0.39,0.14,0.11,0.25,0.94,1.183,47.90394,-90.40586
7/27/2022,12:28:12PM,west twin bwca,21.008,706.9,93.1,8.3,33.6,7.5,0.37,0.06,0.04,0.25,0.98,1.291,47.90393,-90.40585
7/27/2022,12:28:13PM,west twin bwca,20.999,706.9,93,8.29,33.5,7.4,0.37,0.05,0.03,0.27,1.04,1.426,47.90393,-90.40585
7/27/2022,12:28:14PM,west twin bwca,20.99,707,92.9,8.28,33.5,7.39,0.37,0.05,0.03,0.29,1.13,1.491,47.90393,-90.40585
7/27/2022,12:28:15PM,west twin bwca,20.978,706.9,92.8,8.28,33.5,7.38,0.38,0.05,0.03,0.3,1.2,1.595,47.90393,-90.40585
7/27/2022,12:28:16PM,west twin bwca,20.962,707,92.7,8.27,33.5,7.37,0.38,0.05,0.03,0.32,1.28,1.713,47.90393,-90.40585
7/27/2022,12:28:17PM,west twin bwca,20.943,706.9,92.7,8.27,33.4,7.37,0.38,0.05,0.03,0.35,1.41,1.797,47.90393,-90.40584
7/27/2022,12:28:18PM,west twin bwca,20.923,706.9,92.6,8.26,33.4,7.36,0.38,0.05,0.03,0.37,1.52,1.92,47.90393,-90.40583
7/27/2022,12:28:19PM,west twin bwca,20.903,706.9,92.5,8.26,33.4,7.36,0.38,0.06,0.03,0.38,1.57,2.007,47.90392,-90.40582
7/27/2022,12:28:20PM,west twin bwca,20.887,707,92.5,8.26,33.4,7.35,0.38,0.06,0.04,0.39,1.63,2.079,47.90392,-90.40582
7/27/2022,12:28:21PM,west twin bwca,20.87,706.9,92.4,8.26,33.4,7.35,0.38,0.06,0.04,0.41,1.69,2.963,47.90392,-90.40583
7/27/2022,12:28:22PM,west twin bwca,20.854,706.9,92.4,8.26,33.4,7.35,0.38,0.06,0.04,0.4,1.69,3.16,47.90392,-90.40583
7/27/2022,12:28:23PM,west twin bwca,20.841,707,92.3,8.26,33.4,7.34,0.38,0.07,0.05,0.42,1.75,3.391,47.90392,-90.40583
7/27/2022,12:28:24PM,west twin bwca,20.825,706.9,92.3,8.26,33.4,7.34,0.38,0.07,0.04,0.42,1.77,3.443,47.90392,-90.40583
7/27/2022,12:28:25PM,west twin bwca,20.81,706.8,92.3,8.25,33.4,7.34,0.38,0.07,0.05,0.42,1.76,3.609,47.90392,-90.40583
7/27/2022,12:28:26PM,west twin bwca,20.789,707,92.2,8.25,33.4,7.33,0.38,0.07,0.05,0.43,1.83,3.797,47.90392,-90.40583
7/27/2022,12:28:27PM,west twin bwca,20.772,706.9,92.2,8.25,33.4,7.33,0.39,0.08,0.05,0.44,1.87,3.896,47.90392,-90.40583
7/27/2022,12:28:28PM,west twin bwca,20.754,706.9,92.1,8.25,33.4,7.33,0.4,0.08,0.05,0.44,1.86,3.961,47.90392,-90.40582
7/27/2022,12:28:29PM,west twin bwca,18.228,706.9,92,8.24,35.2,7.17,0.41,0.08,0.06,0.43,1.82,4.064,47.90392,-90.40583
7/27/2022,12:28:30PM,west twin bwca,16.945,706.9,87.2,8.3,36.1,7.09,0.44,0.08,0.06,0.43,1.83,5.014,47.90392,-90.40582
7/27/2022,12:28:31PM,west twin bwca,16.639,706.9,81.7,7.91,36.4,7.01,0.47,0.09,0.06,0.44,1.87,5.378,47.90392,-90.40582
7/27/2022,12:28:32PM,west twin bwca,15.272,707,77.5,7.77,37.4,6.89,0.5,0.09,0.07,0.44,1.88,5.529,47.90393,-90.40582
7/27/2022,12:28:33PM,west twin bwca,15.494,706.9,71.7,7.17,37.1,6.87,0.5,0.09,0.07,0.45,1.9,5.546,47.90392,-90.40582
7/27/2022,12:28:34PM,west twin bwca,15.565,706.8,61.5,6.13,37,6.84,0.53,0.09,0.06,0.44,1.88,5.593,47.90392,-90.40582
7/27/2022,12:28:35PM,west twin bwca,13.858,706.9,55.7,5.73,38.5,6.79,0.55,0.08,0.06,0.44,1.84,5.677,47.90393,-90.40582
7/27/2022,12:28:36PM,west twin bwca,13.348,706.8,51.5,5.39,39,6.63,0.6,0.09,0.06,0.43,1.8,5.791,47.90393,-90.40582
7/27/2022,12:28:37PM,west twin bwca,12.426,706.9,46.1,4.87,39.9,6.57,0.65,0.09,0.06,0.41,1.7,5.885,47.90393,-90.40583
7/27/2022,12:28:38PM,west twin bwca,12.013,706.9,42.4,4.57,40.5,6.53,0.68,0.08,0.06,0.38,1.58,5.991,47.90393,-90.40583
7/27/2022,12:28:39PM,west twin bwca,12.098,706.8,40.1,4.31,40.7,6.52,0.71,0.09,0.06,0.36,1.48,6.099,47.90393,-90.40582
7/27/2022,12:28:40PM,west twin bwca,12.195,706.9,36.8,3.95,40.8,6.51,0.74,0.08,0.06,0.35,1.41,6.167,47.90393,-90.40582
7/27/2022,12:28:41PM,west twin bwca,10.667,706.9,35.3,3.91,42.8,6.5,0.78,0.09,0.06,0.33,1.33,6.974,47.90392,-90.40582
7/27/2022,12:28:42PM,west twin bwca,10.69,707,34.3,3.8,43.2,6.48,0.82,0.08,0.06,0.31,1.23,6.963,47.90392,-90.40581
